svelte_with_browser_chromium;svelte_with_browser_firefox;svelte_with_browser_webkit;svelte-kit_with_browser_chromium;svelte-kit_with_browser_firefox;svelte-kit_with_browser_webkit;react_with_browser_chromium;react_with_browser_firefox;react_with_browser_webkit;react-vite_with_browser_chromium;react-vite_with_browser_firefox;react-vite_with_browser_webkit;react-next_with_browser_chromium;react-next_with_browser_firefox;react-next_with_browser_webkit;vue_with_browser_chromium;vue_with_browser_firefox;vue_with_browser_webkit;vue-nuxt_with_browser_chromium;vue-nuxt_with_browser_firefox;vue-nuxt_with_browser_webkit
14315;14322;14281;14569;14411;14545;15487;14739;14944;15446;14838;15398;14869;15538;15055;14519;13948;14894;14913;14672;14950
14711;13808;14567;13910;14389;14458;15385;15456;15232;15484;15350;15365;15671;15703;15660;14948;15026;14321;14992;14779;14910
14689;14563;14396;14285;14403;14435;15531;15355;15461;15220;15250;15359;15411;15352;15417;14818;15036;14841;15041;15159;15044
14617;14552;14406;14447;14393;14567;15416;15320;15241;15425;15467;15129;15618;15463;15623;14704;14747;14866;14983;14833;15122
14300;14478;14602;14614;14538;14490;15251;15424;15579;15326;15198;15387;15392;15403;15221;14741;14517;14421;15079;14967;14939
14730;14413;14267;14361;14330;14603;15318;15475;15256;15289;14867;15356;15418;15550;15450;14839;14986;14833;14829;15198;14755
14614;14400;14406;14574;14614;14593;15548;15542;15513;15427;15432;15330;15574;15616;15434;14962;14698;14855;14935;14879;15087
14544;14210;14463;14475;14627;14423;15323;15523;15498;15457;15448;15095;15592;15423;15540;14326;14552;14590;14879;14828;14976
14526;14402;14440;14576;14376;14397;15533;15337;15365;15499;15479;15306;15577;15436;15399;14761;14834;14723;15030;14962;14974
14641;14340;14454;14727;14567;14668;15437;15370;15286;15389;15401;15329;15471;15644;15402;14816;14618;14719;14726;14740;14787
14413;14193;14413;14329;14549;14557;14967;15488;15446;14893;15287;15334;15344;15378;15471;14628;14582;14464;14791;14419;14804
14210;14371;14463;14303;14633;14548;15610;15411;15305;15297;15380;15439;15612;15581;15487;14768;14862;14670;14878;15116;14936
14683;14443;14034;14473;14495;14417;15441;15394;15514;15484;15405;15478;15685;15424;15515;14905;14873;14828;15016;14842;14971
14437;14452;14458;14529;14643;14375;15512;15361;15344;15359;15498;15318;15674;15433;15585;14747;14805;14771;14840;14945;15103
14243;14418;14549;14587;14454;14349;15448;15316;15393;15397;15460;15432;15464;15532;15378;14817;14947;14789;14944;15038;15038
14727;14399;14514;14574;14427;14677;15350;15548;15512;15352;15327;15334;15296;15421;15545;14836;14694;14820;15200;14965;14765
14600;14151;14502;14484;14295;14562;15340;15220;15603;15304;15335;15172;15523;15313;15476;14613;14987;14748;15229;14771;14757
14444;14495;14632;14381;14608;14380;15042;15445;15330;15284;15402;15479;15400;15616;15713;14672;14568;14804;15299;14756;15099
14601;14598;14520;14580;14421;14638;15360;15653;15290;15423;15432;15290;15368;15569;15623;14721;14678;14744;14952;14605;14929
14645;14199;14090;14391;14393;14619;15287;15157;15149;15234;14843;15372;15492;15697;15514;14961;14839;14501;15025;15019;14896
14482;14417;14275;14720;14585;14423;15408;15491;15366;15376;15387;15457;15554;15624;15410;14524;14642;14808;14961;14952;14776
14575;14464;14272;14465;14697;14701;15442;15395;15334;15426;15437;15435;15724;15494;15392;14683;14680;14682;15057;14959;14880
14443;14332;14157;14560;14648;14580;15332;15495;15377;15140;15352;15250;15391;15619;15507;14745;14717;14828;14940;15088;14751
14623;14391;14408;14384;14718;14600;15489;15144;15294;15356;15260;15341;15489;15390;15437;14926;14705;14609;14920;14906;15129
14638;14548;14429;14502;14368;14528;15422;15258;15155;15424;15415;15179;15477;15452;15469;14795;14641;14750;14996;14932;14868
14350;14410;14490;14494;14506;14481;15445;15379;15357;15254;15459;15407;15321;15344;15461;14773;14786;14669;15098;15026;14917
14575;14577;14292;14424;14411;14721;14871;14735;15304;14818;15355;15336;14983;15485;15528;14684;14915;14560;14994;14685;14828
15174;14506;14297;14554;14183;14724;15418;15262;15529;15507;15356;15239;15438;15512;15505;14779;14538;14730;14519;14831;15038
14673;14243;14252;14414;14270;14493;14989;15065;15550;15555;15156;15405;15611;15369;15467;14724;14824;14688;14999;15098;14905
14577;14342;14460;14375;14600;14427;15454;15446;15524;15227;15274;15527;15372;15331;15356;14742;14908;14949;14983;14975;14887
