install_time;build_time;deps_with_duplicates;deps_without_duplicates;build_size;
5777;8428;1369;608;580;
5951;8606;1369;608;580;
6017;8710;1369;608;580;
5815;8290;1369;608;580;
6410;8352;1369;608;580;
5460;8206;1369;608;580;
5960;8640;1369;608;580;
5848;8657;1369;608;580;
5951;8471;1369;608;580;
5919;8936;1369;608;580;
6310;8747;1369;608;580;
5921;8460;1369;608;580;
5669;8718;1369;608;580;
5830;8999;1369;608;580;
6109;8806;1369;608;580;
6234;8385;1369;608;580;
5690;8526;1369;608;580;
5822;8626;1369;608;580;
5945;8383;1369;608;580;
5615;8277;1369;608;580;
6545;9047;1369;608;580;
5740;8205;1369;608;580;
6227;8428;1369;608;580;
5782;8440;1369;608;580;
6054;8944;1369;608;580;
6010;8534;1369;608;580;
5999;8793;1369;608;580;
6590;9008;1369;608;580;
6216;8447;1369;608;580;
5644;8509;1369;608;580;
5599;8475;1369;608;580;
5672;8325;1369;608;580;
6184;9133;1369;608;580;
5677;8542;1369;608;580;
6560;8441;1369;608;580;
5866;9318;1369;608;580;
5800;8702;1369;608;580;
6088;8764;1369;608;580;
6065;8933;1369;608;580;
6112;8697;1369;608;580;
6034;8844;1369;608;580;
6107;8613;1369;608;580;
6028;8698;1369;608;580;
5947;8951;1369;608;580;
5961;8873;1369;608;580;
6067;8561;1369;608;580;
6033;8285;1369;608;580;
6382;8925;1369;608;580;
5903;8951;1369;608;580;
6317;8704;1369;608;580;
6570;9018;1369;608;580;
6460;9066;1369;608;580;
6009;8799;1369;608;580;
6274;8682;1369;608;580;
5866;8554;1369;608;580;
6201;8887;1369;608;580;
6716;9082;1369;608;580;
6199;8666;1369;608;580;
6014;8507;1369;608;580;
6007;8521;1369;608;580;
6008;8839;1369;608;580;
5517;8548;1369;608;580;
5946;8938;1369;608;580;
5964;8677;1369;608;580;
6074;8419;1369;608;580;
5460;8445;1369;608;580;
6226;9043;1369;608;580;
5832;8330;1369;608;580;
5958;8480;1369;608;580;
6127;8974;1369;608;580;
6349;8528;1369;608;580;
6128;8784;1369;608;580;
5938;8687;1369;608;580;
6243;8819;1369;608;580;
6043;8787;1369;608;580;
6058;8673;1369;608;580;
5785;8279;1369;608;580;
6247;9244;1369;608;580;
6008;8660;1369;608;580;
5970;8944;1369;608;580;
5933;8384;1369;608;580;
6381;8843;1369;608;580;
5914;8913;1369;608;580;
5996;8650;1369;608;580;
5738;8533;1369;608;580;
5781;8539;1369;608;580;
5875;8621;1369;608;580;
6990;9394;1369;608;580;
6131;8989;1369;608;580;
5951;8525;1369;608;580;
6301;8842;1369;608;580;
6443;8951;1369;608;580;
6135;8460;1369;608;580;
6602;8866;1369;608;580;
6013;8696;1369;608;580;
6337;8770;1369;608;580;
5975;9108;1369;608;580;
5842;8552;1369;608;580;
6527;9105;1369;608;580;
6649;9550;1369;608;580;
6535;8807;1369;608;580;
6278;9016;1369;608;580;
6252;8791;1369;608;580;
6654;8837;1369;608;580;
6180;9384;1369;608;580;
7115;9251;1369;608;580;
6087;8789;1369;608;580;
6228;9124;1369;608;580;
6194;9199;1369;608;580;
6923;9124;1369;608;580;
6570;9398;1369;608;580;
6353;9203;1369;608;580;
6066;9103;1369;608;580;
5942;9101;1369;608;580;
6228;8898;1369;608;580;
5955;9245;1369;608;580;
6676;9117;1369;608;580;
6370;9022;1369;608;580;
6329;9141;1369;608;580;
6863;9798;1369;608;580;
6002;8632;1369;608;580;
6455;9210;1369;608;580;
6732;9578;1369;608;580;
6334;9374;1369;608;580;
6273;8755;1369;608;580;
6155;8581;1369;608;580;
6566;8790;1369;608;580;
6031;8829;1369;608;580;
5957;9335;1369;608;580;
6277;9379;1369;608;580;
6096;8714;1369;608;580;
6281;9114;1369;608;580;
