svelte-yarn;svelte-kit-yarn;react-yarn;react-vite-yarn;react-next-yarn;vue-yarn;vue-nuxt-yarn;angular-yarn;svelte-build;svelte-kit-build;react-build;react-vite-build;react-next-build;vue-build;vue-nuxt-build;angular-build;svelte-build-size;svelte-kit-build-size;react-build-size;react-vite-build-size;react-next-build-size;vue-build-size;vue-nuxt-build-size;angular-build-size
;;;;;;;;1403;5437;8203;5084;18375;7177;7023;24665;28;124;548;164;396;684;184;204
;;;;;;;;1452;5593;8064;4737;18896;7475;7271;24772;28;124;548;164;396;684;184;204
;;;;;;;;1471;5716;7869;4903;19015;6982;7019;24501;28;124;548;164;396;684;184;204
;;;;;;;;1577;5528;7925;4824;18629;7322;7050;24691;28;124;548;164;396;684;184;204
;;;;;;;;1452;5612;8109;4664;18702;7099;7101;24657;28;124;548;164;396;684;184;204
;;;;;;;;1460;5537;8163;4998;18584;7307;7217;24439;28;124;548;164;396;684;184;204
;;;;;;;;1445;5583;7795;4700;19443;7203;6992;24524;28;124;548;164;396;684;184;204
;;;;;;;;1368;5530;8025;4869;19216;7251;7076;24050;28;124;548;164;396;684;184;204
;;;;;;;;1486;5530;8101;4918;18762;7116;6858;24678;28;124;548;164;396;684;184;204
;;;;;;;;1446;5453;8028;4957;19330;7530;7108;24897;28;124;548;164;396;684;184;204
;;;;;;;;1483;5463;8132;4720;19225;7351;7051;25339;28;124;548;164;396;684;184;204
;;;;;;;;1438;5468;8150;4992;18906;7514;7401;25029;28;124;548;164;396;684;184;204
;;;;;;;;1490;5504;8024;4775;19584;7322;7541;25661;28;124;548;164;396;684;184;204
;;;;;;;;1438;5519;8021;4809;19373;7243;7268;25498;28;124;548;164;396;684;184;204
1406;2365;11592;1572;3537;4804;5783;12002;1454;5587;10472;4840;18826;7422;7312;11442;28;124;548;164;396;684;184;204
1423;2309;11762;1550;3826;4887;6043;12177;1464;5543;10159;4968;19252;7369;7164;10978;28;124;548;164;396;684;184;204
1481;2448;11899;1507;3855;4782;6150;11875;1508;5493;10487;5107;21344;7196;7102;10786;28;124;548;164;396;684;184;204
1431;2383;10781;1450;3700;4978;5795;11629;1474;5602;10147;4809;19095;7194;7377;11019;28;124;548;164;396;684;184;204
1488;2320;11611;1492;3840;5213;5963;11351;1484;5505;10446;4755;19448;7478;7005;10717;28;124;548;164;396;684;184;204
1421;2392;11771;1496;3686;4859;5909;12062;1478;5688;10518;4942;19261;7403;7252;11441;28;124;548;164;396;684;184;204
1500;2321;11767;1553;3414;5109;5966;12404;1456;5613;10229;4941;19337;7135;7088;10959;28;124;548;164;396;684;184;204
1520;2313;11656;1488;3624;5198;6087;11206;1439;5761;10423;4946;19444;7294;7086;11068;28;124;548;164;396;684;184;204
1485;2363;11114;1464;3767;4947;5699;11940;1502;5684;10173;4865;19424;7439;7270;11069;28;124;548;164;396;684;184;204
1528;2352;11754;1434;3856;4959;6016;11591;1365;5494;10393;4943;19881;7279;6853;11193;28;124;548;164;396;684;184;204
1428;2324;10965;1543;3720;5111;6205;11356;1484;5519;10094;4856;19866;7187;7061;10519;28;124;548;164;396;684;184;204
1436;2347;11232;1571;3482;5028;5519;10871;1463;5721;10065;4865;18804;7091;7424;10840;28;124;548;164;396;684;184;204
1481;2253;11979;1524;3670;4983;5973;11392;1471;5352;10017;4748;18970;7266;7043;10738;28;124;548;164;396;684;184;204
1425;2269;10895;1521;3775;5095;6037;11439;1463;5683;10297;4996;19710;7418;7123;10546;28;124;548;164;396;684;184;204
1483;2242;10510;1659;3834;4780;5700;11367;1482;5539;10100;4846;19281;7103;6919;10818;28;124;548;164;396;684;184;204
1410;2331;11616;1685;3782;4671;6056;10950;1410;5352;9795;4662;19285;7077;6827;10712;28;124;548;164;396;684;184;204
1505;2391;10716;1541;3601;4928;6324;12308;1474;5429;10080;4772;19186;7102;7125;10845;28;124;548;164;396;684;184;204
