svelte_with_browser_chromium;svelte_with_browser_firefox;svelte_with_browser_webkit;svelte-kit_with_browser_chromium;svelte-kit_with_browser_firefox;svelte-kit_with_browser_webkit;react_with_browser_chromium;react_with_browser_firefox;react_with_browser_webkit;react-vite_with_browser_chromium;react-vite_with_browser_firefox;react-vite_with_browser_webkit;react-next_with_browser_chromium;react-next_with_browser_firefox;react-next_with_browser_webkit;vue_with_browser_chromium;vue_with_browser_firefox;vue_with_browser_webkit;vue-nuxt_with_browser_chromium;vue-nuxt_with_browser_firefox;vue-nuxt_with_browser_webkit;angular_with_browser_chromium;angular_with_browser_firefox;angular_with_browser_webkit
14024;14883;14393;14790;14426;14428;15259;15881;15802;15984;15545;15881;15462;15540;15351;15103;15097;15172;15074;15518;14718;15633;15583;15719
14539;14216;13991;14480;14814;14209;15552;15819;15682;15570;15091;15221;15331;15292;15201;14347;14892;14809;15164;15287;14658;15366;15502;15872
14766;14831;14757;14872;14998;14803;15403;15591;15827;15236;15243;15662;15587;15467;15311;14244;14029;14551;14989;13986;14842;15506;15718;15701
14543;14529;14338;14925;14595;14398;15718;15519;15258;15417;15937;15949;15780;15272;15356;14077;14356;14116;15165;15298;14962;15516;15409;15842
14657;14416;14543;15129;14278;14111;15370;15538;15766;15635;15762;15649;15686;16109;15447;15409;15075;15144;15243;14261;14531;15769;15698;15519
14785;14499;15149;14851;14854;14645;15806;15770;15663;15862;15850;15354;15465;15688;16019;15046;15422;15016;15050;14970;15493;15626;15667;15679
14162;14043;14798;14131;14212;14705;15471;15239;15536;15689;15373;15432;15742;15666;15550;14340;15012;14878;14675;14259;14274;15753;15213;15114
14515;14574;14119;14444;14488;14207;15451;15235;15189;15620;15661;15569;15687;15482;15540;15054;14592;15180;14616;14801;14855;15542;15561;15507
14351;14188;14679;14519;14632;14647;15560;15261;15572;15651;15586;15264;15444;15705;15767;14139;14769;14757;14984;15087;15557;15682;15639;15837
14660;13708;14709;13814;13745;14904;15711;15658;15741;15910;15521;15595;15818;15563;15716;15168;15195;14605;14188;15171;15209;15534;15445;15490
14176;13506;13397;13699;13636;13503;14913;15013;14990;14873;15068;15111;15140;15245;15284;14166;13874;14080;13952;13741;13714;15200;14912;15149
13806;13654;13702;14059;13881;13938;15016;15173;14948;14930;15115;15223;15214;15316;15181;14383;14307;13928;14545;14267;14524;15790;15797;15467
14605;14762;14644;14333;14715;14600;15886;15403;15122;15663;15621;15608;16011;15937;15484;14969;14968;14764;14817;14570;14516;15872;15723;15655
14729;13909;14832;14544;14723;14516;15571;15615;15438;15304;15579;15597;15729;15862;15725;14209;14911;15297;14667;14973;14892;15633;15590;15364
13709;13572;13382;13586;13963;13657;15365;15037;15210;15169;15346;15560;15682;15758;15660;14393;14695;15002;14966;14895;15439;15479;15394;15303
15075;14697;14857;14186;14636;14866;15919;15524;16140;15700;15372;15305;15971;15668;15848;15177;14973;14668;15248;15108;15325;15385;15626;15796
14797;14489;14247;14721;15100;14993;15957;15942;15721;15487;15543;15482;15796;16237;15969;15430;15041;14734;14564;14977;15327;15863;15681;15876
14719;14641;13945;14033;14222;13893;15450;15578;15853;15504;16131;15964;15604;15970;15330;14619;14104;14453;13988;14130;13892;15238;15184;15135
14261;13973;13971;13770;14299;14033;15268;15293;15152;15456;15231;15212;15390;15301;15490;14723;14917;14755;15464;15139;15186;15527;15520;15802
