svelte-yarn;svelte-kit-yarn;react-yarn;react-vite-yarn;react-next-yarn;vue-yarn;vue-nuxt-yarn;angular-yarn;svelte-build;svelte-kit-build;react-build;react-vite-build;react-next-build;vue-build;vue-nuxt-build;angular-build;svelte-build-size;svelte-kit-build-size;react-build-size;react-vite-build-size;react-next-build-size;vue-build-size;vue-nuxt-build-size;angular-build-size
384;394;1186;391;570;755;779;894;1554;5836;8213;5187;19421;7850;7620;25217;28;124;548;164;396;684;184;204
381;393;1194;397;566;764;778;914;1550;5901;8268;5173;19530;7882;7640;25490;28;124;548;164;396;684;184;204
381;410;1184;416;567;754;761;889;1559;5998;8182;5149;19635;7971;7579;25478;28;124;548;164;396;684;184;204
367;414;1164;387;553;748;750;901;1542;5914;8214;5196;19734;7933;7693;25403;28;124;548;164;396;684;184;204
378;400;1182;386;584;752;785;931;1539;5887;8334;5165;19312;7923;7584;25503;28;124;548;164;396;684;184;204
371;396;1186;390;550;766;796;915;1535;5910;8309;5176;19437;7935;7672;25603;28;124;548;164;396;684;184;204
368;414;1173;388;554;748;777;917;1531;5908;8248;5172;19472;8035;7729;25445;28;124;548;164;396;684;184;204
368;413;1174;380;578;750;791;931;1554;5941;8187;5182;19394;8088;7606;25515;28;124;548;164;396;684;184;204
370;401;1161;390;552;754;778;905;1542;5949;8206;5264;19977;7835;7561;25301;28;124;548;164;396;684;184;204
380;394;1194;396;580;769;781;903;1648;6060;8249;5207;19479;7979;7609;25892;28;124;548;164;396;684;184;204
377;384;1180;378;569;769;778;905;1552;5937;8235;5232;19683;7913;7610;25646;28;124;548;164;396;684;184;204
387;405;1179;387;559;755;777;924;1554;5903;8272;5198;19498;8029;7607;25436;28;124;548;164;396;684;184;204
388;399;1168;377;544;743;784;905;1520;5848;8219;5174;19480;7948;7529;25351;28;124;548;164;396;684;184;204
378;395;1159;390;559;755;763;905;1498;5883;8214;5218;19524;7824;7594;25397;28;124;548;164;396;684;184;204
369;407;1159;390;557;749;765;893;1559;5883;8219;5171;19697;7994;7531;25487;28;124;548;164;396;684;184;204
392;376;1137;385;544;764;779;905;1520;5879;8177;5227;19721;7904;7584;25459;28;124;548;164;396;684;184;204
368;400;1170;395;568;761;779;898;1530;5899;8208;5180;20020;8107;7611;25023;28;124;548;164;396;684;184;204
362;409;1178;376;571;771;767;896;1540;5990;8172;5189;20149;7992;7616;25450;28;124;548;164;396;684;184;204
378;392;1182;390;553;768;765;930;1556;5899;8200;5149;19466;7947;7621;25155;28;124;548;164;396;684;184;204
