svelte_with_browser_chromium;svelte_with_browser_firefox;svelte_with_browser_webkit;svelte-kit_with_browser_chromium;svelte-kit_with_browser_firefox;svelte-kit_with_browser_webkit;react_with_browser_chromium;react_with_browser_firefox;react_with_browser_webkit;react-vite_with_browser_chromium;react-vite_with_browser_firefox;react-vite_with_browser_webkit;react-next_with_browser_chromium;react-next_with_browser_firefox;react-next_with_browser_webkit;vue_with_browser_chromium;vue_with_browser_firefox;vue_with_browser_webkit;vue-nuxt_with_browser_chromium;vue-nuxt_with_browser_firefox;vue-nuxt_with_browser_webkit;angular_with_browser_chromium;angular_with_browser_firefox;angular_with_browser_webkit
14395;13997;14310;14139;14154;14048;15202;15256;15182;15198;15182;15180;15404;15472;15498;14722;14518;14375;14504;14528;14710;15522;15325;15355
14661;14096;14273;14192;14163;14032;15370;15360;15294;15372;15299;15338;15443;15582;15472;14681;14561;14245;14753;14430;14368;15514;15502;15465
14327;13967;14181;14206;13959;14034;15239;15475;15338;15232;15301;15354;15371;15284;15402;14485;14495;14665;14474;14581;14591;15634;15563;15486
14544;14068;13945;14216;14020;14273;15234;15505;15385;15273;15163;15260;15359;15233;15364;14617;14570;14582;14461;14715;14642;15378;15398;15488
14253;14168;13763;14379;14036;14199;15271;15376;15481;15303;15259;15368;15469;15600;15354;14683;14492;14298;14676;14699;14675;15303;15525;15437
14207;13853;14294;14191;14059;14287;15308;15065;15245;15404;15564;14986;15387;15273;15486;14462;14460;14517;14647;14614;14394;15385;15479;15294
13909;14214;14211;14241;14255;14152;15342;15412;15265;15422;15378;15328;15300;15371;15393;14542;14392;14339;14521;14771;14712;15482;15540;15456
15386;14116;14244;14204;14179;14248;15274;15243;15332;15220;15344;15323;15261;15365;15407;14596;14630;14466;14686;14423;14600;15356;15334;15357
14357;14078;14045;14245;14052;14050;15358;15347;15125;15310;15353;15239;15531;15357;15539;14452;14574;14659;14605;14390;14386;15406;15521;15448
14066;14122;13905;13841;13926;14097;15307;15517;15414;15389;15154;15229;15335;15325;15299;14671;14296;14661;14715;14671;14391;15435;15486;15325
